NAME	radius	WGS	CHIP
北京市	0.5	0	0
天津市	0.6	0	16
河北省	1.86332286	15	59
山西省	2.037426498	28	81
内蒙古自治区	1.748188027	16	40
辽宁省	1.380211242	1	23
吉林省	1.763427994	13	45
黑龙江省	1.72427587	13	40
山东省	3.450403086	20	2801
河南省	2.049218023	24	88
陕西省	1.770852012	22	37
甘肃省	2.086359831	41	81
青海省	1.653212514	22	23
宁夏回族自治区	1.763427994	23	35
上海市	0.602059991	0	0
江苏省	1.568201724	10	35
安徽省	2.10720997	41	87
浙江省	2.178976947	46	105
福建省	2.117271296	57	75
江西省	3.389520466	719	1730
湖北省	1.579783597	17	21
湖南省	3.507180977	3203	9
重庆市	1.633468456	15	28
四川省	2.079181246	39	83
贵州省	2.11058971	30	99
云南省	2.08278537	33	88
广东省	1.69019608	26	23
广西壮族自治区	1.973127854	36	58
海南省	1.62324929	14	28
新疆维吾尔自治区	1.079181246	9	3
西藏自治区	0.301029996	1	0
台湾省	1.2	0	0
