Region	Drift_diff
North	3.198571428571429e-05
North	2.6785714285714288e-05
North	2.8185714285714288e-05
North	2.2671428571428573e-05
North	3.703571428571428e-05
North	3.4394285714285716e-05
North	3.736555714285715e-05
North	4.211428571428572e-05
North	2.522857142857143e-05
North	2.6757142857142855e-05
North	3.005142857142857e-05
North	4.234285714285715e-05
North	9.828571428571427e-06
North	1.617142857142857e-05
North	1.1935714285714286e-05
North	9.294285714285714e-06
North	1.3665557142857142e-05
North	1.7014285714285713e-05
North	1.272857142857143e-05
North	2.902857142857143e-05
North	1.8122857142857146e-05
North	3.254285714285715e-05
North	2.8914285714285718e-05
North	5.427857142857144e-05
North	5.1637142857142864e-05
North	4.21227e-05
North	5.935714285714286e-05
North	3.1271428571428576e-05
North	1.4257142857142859e-05
North	2.752285714285714e-05
North	1.3542857142857142e-05
North	2.173571428571429e-05
North	1.9094285714285713e-05
North	1.095127142857143e-05
North	2.6814285714285714e-05
North	1.1642857142857144e-05
North	1.922857142857143e-05
North	1.0951428571428572e-05
North	2.5364285714285716e-05
North	2.272285714285714e-05
North	2.4094128571428576e-05
North	3.0442857142857143e-05
North	4.3285714285714275e-06
North	2.0514285714285717e-05
North	1.9894285714285713e-05
North	6.241428571428571e-06
North	1.4850157142857143e-05
North	5.078571428571428e-06
North	2.3007142857142855e-05
North	4.0964285714285716e-05
North	2.6918571428571425e-05
North	1.4122699999999998e-05
North	7.72e-06
North	2.0365714285714288e-05
North	3.832285714285714e-05
North	2.504571428571428e-05
North	1.723444285714286e-05
North	2.0765557142857144e-05
North	2.8808414285714284e-05
North	1.5491271428571427e-05
North	2.8085714285714285e-05
North	4.6042857142857136e-05
North	3.1834285714285713e-05
North	2.1499999999999997e-05
North	1.6794285714285712e-05
North	1.4208571428571428e-05
South	0.000262529
South	0.00019678228571428573
South	3.2574e-05
South	0.000178358
South	0.000120824
South	0.00010058014285714285
South	0.00012388142857142854
South	4.106528571428573e-05
South	6.574671428571429e-05
South	0.000295103
South	8.417099999999999e-05
South	0.00014170500000000003
South	0.00016194885714285713
South	0.00013864757142857141
South	0.0002931702857142857
South	0.00022935628571428573
South	2.7326571428571418e-05
South	7.595828571428573e-05
South	9.620214285714286e-05
South	7.290085714285715e-05
South	0.00022742357142857143
South	0.000210932
South	0.00015339799999999998
South	0.00013315414285714283
South	0.00015645542857142857
South	8.491285714285729e-06
South	5.7534000000000015e-05
South	7.777785714285715e-05
South	5.447657142857144e-05
South	0.00020899928571428572
South	2.0243857142857138e-05
South	1.1945428571428576e-05
South	0.0001514652857142857
South	2.3301285714285712e-05
South	0.00013122142857142856
South	0.0001545227142857143
