NAME,EAS_fst,EUR_fst,AFR_fst,AMR_fst,SAS_fst,location
天津市,3.0268,96.02,146.67,62.524,61.206,North
河北省,3.0268,96.02,146.67,62.524,61.206,North
山西省,3.339,94.836,146.38,61.576,60.429,North
内蒙古自治区,2.8569,94.612,145.26,60.962,59.896,North
辽宁省,2.8359,95.255,144.25,60.785,60.094,North
吉林省,2.9143,96.389,146.3,62.319,61.421,North
黑龙江省,2.9207,96.165,145.84,62.28,61.087,North
山东省,3.2566,98.299,148.98,64.705,63.094,North
河南省,2.7687,96.289,146.91,62.745,61.221,North
陕西省,2.6739,93.886,144.64,60.513,59.19,North
上海市,2.1319,97.181,146.08,63.186,61.562,Central
江苏省,2.1319,97.181,146.08,63.186,61.562,Central
浙江省,1.2799,100.39,150.01,66.68,64.475,Central
安徽省,2.1877,98.359,148.59,64.645,62.907,Central
福建省,1.0963,100.49,149.38,66.974,64.273,Central
江西省,0.90879,100.91,150.63,67.388,64.808,Central
湖北省,1.1767,97.582,146.57,63.518,61.761,Central
湖南省,0.73717,100.33,150.03,67.035,64.243,Central
重庆市,0.80545,97.923,146.36,64.009,61.419,Central
四川省,0.73981,98.747,148.1,65.427,62.705,Central
贵州省,0.78402,98.864,148.13,65.531,62.54,Central
云南省,1.1602,96.309,146.38,63.18,60.286,Central
广东省,0.72536,99.828,147.53,66.05,63.225,South
广西壮族自治区,1.6351,100.58,147.67,67.625,63.619,South
海南省,1.5679,99.584,146.41,66.029,62.553,South
甘肃省,3.1411,92.139,144.83,59.621,58.164,West
青海省,4.5234,84.771,138.96,53.315,52.156,West
宁夏回族自治区,2.8429,92.031,143.61,59.145,57.861,West
